row,column,original,fixed,reason
1,mean_systolic_bp,107.36625,107.37,小数桁丸め
3,mean_systolic_bp,111.1183333,111.12,小数桁丸め
4,mean_systolic_bp,126.0471429,126.05,小数桁丸め
5,mean_systolic_bp,112.1842857,112.18,小数桁丸め
6,mean_systolic_bp,108.2933333,108.29,小数桁丸め
7,mean_systolic_bp,131.786,131.79,小数桁丸め
8,mean_systolic_bp,126.6655556,126.67,小数桁丸め
9,mean_systolic_bp,107.8128571,107.81,小数桁丸め
12,mean_systolic_bp,102.4283333,102.43,小数桁丸め
13,mean_systolic_bp,99.405,99.41,小数桁丸め
14,mean_systolic_bp,111.118,111.12,小数桁丸め
15,mean_systolic_bp,127.5833333,127.58,小数桁丸め
16,mean_systolic_bp,124.9414286,124.94,小数桁丸め
17,mean_systolic_bp,120.1714286,120.17,小数桁丸め
18,mean_systolic_bp,102.48375,102.48,小数桁丸め
19,mean_systolic_bp,107.5916667,107.59,小数桁丸め
20,mean_systolic_bp,102.4316667,102.43,小数桁丸め
21,mean_systolic_bp,116.0071429,116.01,小数桁丸め
22,mean_systolic_bp,127.3642857,127.36,小数桁丸め
23,mean_systolic_bp,131.4142857,131.41,小数桁丸め
24,mean_systolic_bp,103.566,103.57,小数桁丸め
25,mean_systolic_bp,106.834,106.83,小数桁丸め
26,mean_systolic_bp,113.1875,113.19,小数桁丸め
27,mean_systolic_bp,135.1377778,135.14,小数桁丸め
28,mean_systolic_bp,125.755,125.76,小数桁丸め
29,mean_systolic_bp,110.1485714,110.15,小数桁丸め
30,mean_systolic_bp,130.71625,130.72,小数桁丸め
31,mean_systolic_bp,126.94375,126.94,小数桁丸め
32,mean_systolic_bp,127.1216667,127.12,小数桁丸め
33,mean_systolic_bp,108.306,108.31,小数桁丸め
34,mean_systolic_bp,99.43833333,99.44,小数桁丸め
35,mean_systolic_bp,127.8071429,127.81,小数桁丸め
36,mean_systolic_bp,108.314,108.31,小数桁丸め
38,mean_systolic_bp,104.9771429,104.98,小数桁丸め
39,mean_systolic_bp,118.5555556,118.56,小数桁丸め
40,mean_systolic_bp,112.34875,112.35,小数桁丸め
41,mean_systolic_bp,131.1442857,131.14,小数桁丸め
42,mean_systolic_bp,127.7133333,127.71,小数桁丸め
44,mean_systolic_bp,110.23625,110.24,小数桁丸め
47,mean_systolic_bp,110.235,110.24,小数桁丸め
48,mean_systolic_bp,129.4042857,129.40,小数桁丸め
50,mean_systolic_bp,110.3328571,110.33,小数桁丸め
51,mean_systolic_bp,106.72375,106.72,小数桁丸め
52,mean_systolic_bp,107.6971429,107.70,小数桁丸め
53,mean_systolic_bp,112.8388889,112.84,小数桁丸め
54,mean_systolic_bp,121.2566667,121.26,小数桁丸め
55,mean_systolic_bp,109.708,109.71,小数桁丸め
56,mean_systolic_bp,130.3377778,130.34,小数桁丸め
57,mean_systolic_bp,126.9288889,126.93,小数桁丸め
58,mean_systolic_bp,132.2828571,132.28,小数桁丸め
59,mean_systolic_bp,110.0671429,110.07,小数桁丸め
60,mean_systolic_bp,111.6571429,111.66,小数桁丸め
62,mean_systolic_bp,104.7428571,104.74,小数桁丸め
63,mean_systolic_bp,127.115,127.12,小数桁丸め
64,mean_systolic_bp,127.43625,127.44,小数桁丸め
65,mean_systolic_bp,106.5777778,106.58,小数桁丸め
66,mean_systolic_bp,114.16375,114.16,小数桁丸め
67,mean_systolic_bp,134.70375,134.70,小数桁丸め
68,mean_systolic_bp,117.77125,117.77,小数桁丸め
69,mean_systolic_bp,129.4942857,129.49,小数桁丸め
70,mean_systolic_bp,127.5433333,127.54,小数桁丸め
71,mean_systolic_bp,126.0522222,126.05,小数桁丸め
72,mean_systolic_bp,103.8866667,103.89,小数桁丸め
73,mean_systolic_bp,109.6088889,109.61,小数桁丸め
74,mean_systolic_bp,105.0928571,105.09,小数桁丸め
76,mean_systolic_bp,95.69666667,95.70,小数桁丸め
77,mean_systolic_bp,106.17125,106.17,小数桁丸め
78,mean_systolic_bp,102.876,102.88,小数桁丸め
79,mean_systolic_bp,105.00375,105.00,小数桁丸め
80,mean_systolic_bp,112.9271429,112.93,小数桁丸め
82,mean_systolic_bp,109.6766667,109.68,小数桁丸め
